Date,Open,High,Low,Close,Adj Close,Volume,5MA,20MA,60MA,120MA,240MA,Change,Change(%),Daily limit,KBond,KBond(%),KB_Color,KBond_Length,KBond_UpLine,KBond_DownLine,KBond_UpLine(%),KBond_DownLine(%),KBond_Body(%),5VMA,20VMA,60VMA,5High,5Low,5High_Close,5Low_Close,20High,20Low,20High_Close,20Low_Close,60High,60Low,60High_Close,60Low_Close,120High,120Low,120High_Close,120Low_Close,240High,240Low,240High_Close,240Low_Close,His_High,His_Low,5High(Vol),20High(Vol),20Low(Vol),60High(Vol),60Low(Vol),120High(Vol),120Low(Vol),240High(Vol),240Low(Vol),His_High(Vol),His_Low(Vol),5Low(Vol),RSV,KD(K),KD(D),KD(J),RSI6,P_RSI6,M_RSI6,RSI12,P_RSI12,M_RSI12,(MACD)12EMA,(MACD)26EMA,(MACD)DIF,(MACD)DEM,(MACD)OSC,SD,Bollinger(Tp),Bollinger(Btm)
2016-01-04,79.09,79.09,77.44,78.94,57.64,754601.0,78.46,76.77,77.1,74.68,80.56,-0.44,-0.55,False,-0.15,-0.19,Green,1.65,0.0,1.5,0.0,90.91,9.09,929513.0,543969.0,701033.0,79.68,75.06,79.38,76.55,79.68,74.24,79.38,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1137933.0,1137933.0,228524.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,754601.0,754601.0,85.47,76.21,62.21,34.21000000000001,67.95,0.52,0.25,61.25,0.49,0.31,77.54,77.0,0.5400000000000063,0.18,0.36,1.35,79.47,74.07
2016-01-05,78.34,78.79,77.44,78.64,57.42,713721.0,78.88,76.86,77.14,74.76,80.59,-0.3,-0.38,False,0.3,0.38,Red,1.35,0.15,0.9,11.11,66.67,22.22,860754.0,564141.0,694789.0,79.68,75.8,79.38,78.34,79.68,74.24,79.38,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1137933.0,1137933.0,228524.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,713721.0,713721.0,79.65,77.36,67.26,47.06000000000003,62.86,0.43,0.26,59.21,0.45,0.31,77.71,77.12,0.5899999999999892,0.26,0.33,1.41,79.67999999999999,74.04
2016-01-06,78.64,79.83,78.04,78.34,57.2,1171441.0,78.88,76.95,77.16,74.84,80.6,-0.3,-0.38,False,-0.3,-0.38,Green,1.79,1.19,0.3,66.48,16.76,16.76,867456.0,605658.0,696643.0,79.83,77.44,79.38,78.34,79.83,74.24,79.38,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1171441.0,1171441.0,228524.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,1171441.0,713721.0,71.75,75.49,70.0,59.02000000000001,57.81,0.36,0.27,56.94,0.41,0.31,77.81,77.21,0.6000000000000085,0.33,0.27,1.45,79.85000000000001,74.05
2016-01-07,76.85,78.94,76.85,78.34,57.2,661448.0,78.73,77.07,77.14,74.91,80.61,0.0,0.0,False,1.49,1.9,Red,2.09,0.6,0.0,28.71,0.0,71.29,828587.0,627304.0,683608.0,79.83,76.85,79.38,78.34,79.83,74.24,79.38,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1171441.0,1171441.0,237237.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,661448.0,661448.0,71.75,74.24,71.41,65.75,58.49,0.3,0.22,57.58,0.38,0.28,77.89,77.29,0.5999999999999943,0.38,0.22,1.46,79.99,74.14999999999999
2016-01-08,78.34,79.68,77.89,79.68,58.18,772695.0,78.79,77.24,77.17,75.0,80.64,1.34,1.71,False,1.34,1.71,Red,1.79,0.0,0.45,0.0,25.14,74.86,814781.0,650826.0,685016.0,79.83,76.85,79.68,78.34,79.83,74.24,79.68,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1171441.0,1171441.0,237237.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,772695.0,661448.0,96.65,81.71,74.84,61.10000000000002,72.73,0.47,0.18,63.89,0.46,0.26,78.17,77.47,0.7000000000000028,0.44,0.26,1.55,80.33999999999999,74.14
2016-01-11,79.09,79.53,78.49,79.09,57.75,384002.0,78.82,77.38,77.16,75.06,80.66,-0.59,-0.74,False,0.0,0.0,,1.04,0.44,0.6,42.31,57.69,0.0,740661.0,647442.0,663012.0,79.83,76.85,79.68,78.34,79.83,74.24,79.68,74.91,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1171441.0,1171441.0,237237.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,384002.0,384002.0,81.44,81.62,77.1,68.05999999999997,61.54,0.39,0.25,59.15,0.42,0.29,78.31,77.59,0.7199999999999989,0.5,0.22,1.59,80.56,74.19999999999999
2016-01-12,79.09,79.83,79.09,79.68,58.18,505301.0,79.03,77.62,77.2,75.14,80.68,0.59,0.75,False,0.59,0.75,Red,0.74,0.15,0.0,20.27,0.0,79.73,698977.0,653038.0,657930.0,79.83,76.85,79.68,78.34,79.83,74.53,79.68,75.06,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,1171441.0,1171441.0,237237.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,505301.0,384002.0,94.65,85.96,80.05,68.22999999999999,67.19,0.42,0.21,61.43,0.43,0.27,78.52,77.74,0.7800000000000011,0.56,0.22,1.56,80.74000000000001,74.5
2016-01-13,79.68,79.83,78.34,78.49,57.31,451018.0,79.06,77.78,77.2,75.21,80.69,-1.19,-1.49,False,-1.19,-1.49,Green,1.49,0.15,0.15,10.07,10.07,79.87,554893.0,657629.0,642114.0,79.83,76.85,79.68,78.34,79.83,74.53,79.68,75.06,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,772695.0,1171441.0,237237.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,451018.0,384002.0,54.85,75.59,78.56,84.5,49.32,0.35,0.37,52.7,0.39,0.35,78.52,77.8,0.7199999999999989,0.59,0.13,1.46,80.7,74.86
2016-01-14,77.89,79.38,77.29,78.79,57.53,569636.0,79.15,77.92,77.21,75.29,80.7,0.3,0.38,False,0.9,1.15,Red,2.09,0.59,0.6,28.23,28.71,43.06,536530.0,674249.0,645309.0,79.83,77.29,79.68,78.49,79.83,74.53,79.68,75.06,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,772695.0,1171441.0,328378.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,569636.0,384002.0,64.88,72.02,76.38,85.1,53.03,0.34,0.31,54.29,0.38,0.32,78.56,77.87,0.6899999999999977,0.61,0.08,1.42,80.76,75.08
2016-01-15,78.79,79.38,77.59,77.89,56.87,815585.0,78.79,77.97,77.2,75.37,80.69,-0.9,-1.14,False,-0.9,-1.14,Green,1.79,0.59,0.3,32.96,16.76,50.28,545108.0,691907.0,644449.0,79.83,77.29,79.68,77.89,79.83,74.53,79.68,75.06,84.16,73.19,83.56,74.31,84.16,62.22,83.56,64.16,84.16,62.22,83.56,64.16,104.32,9.02,815585.0,1171441.0,328378.0,2893085.0,184294.0,3628251.0,184294.0,3628251.0,184294.0,69572807555.0,815585.0,384002.0,34.78,59.61,70.79,93.15,41.43,0.28,0.41,48.61,0.35,0.37,78.46,77.87,0.5899999999999892,0.61,-0.02,1.4,80.77,75.17
